galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
UGC11455,36,65.45541447753375,60.052146253715186,0.4199954459072877,0.8995383020002623,3,253876175891.14862
NGC0801,13,66.98149240840391,53.955412557620825,0.49434408566290816,0.9529541912941979,2,236301234774.26874
UGC02916,43,71.50262495209435,40.95808523191052,0.3048351440721057,0.808195299199793,11,126309705108.91882
NGC2955,24,81.37804538526146,42.64993554277889,0.2974369025546522,0.7954083187269969,2,227986382152.28873
NGC0891,18,84.17930518277423,42.57519820881461,0.23034532939542673,0.8512030823911773,4,88920351988.76518
NGC4088,12,85.24925948294228,25.396289301523897,0.19148588933230756,0.998665652759502,3,76175068405.63972
UGC06973,9,87.016838311096,43.517537448619045,0.04359732128870494,0.8016673432430239,4,32082318142.99765
NGC7331,36,87.94929906815514,59.39346802245262,0.4333071916279371,1.0361678885387393,8,162480884557.45413
NGC5371,19,95.50662741284067,45.30694573277187,0.4511385800326016,1.0564275629781086,0,236113584731.6033
NGC4217,19,97.2059272389853,47.85850745851352,-0.0544298426331711,0.8839912529067032,8,61762878737.19747
NGC6195,23,98.6539479311385,32.46587637550845,0.20437164217453002,0.8565566656448923,3,256021898516.59305
